well,cluster,is_outlier,start_date
25-003-05007-00-00,1,True,1986-01-31
25-003-05009-00-00,1,False,1986-01-31
25-003-05057-00-00,0,False,1986-01-31
25-003-05067-00-00,1,False,1986-01-31
25-003-05068-00-00,0,False,1986-01-31
25-003-05069-00-00,1,False,1986-01-31
25-003-05074-00-00,0,False,1988-07-31
25-003-05076-00-00,1,False,1986-01-31
25-003-05078-00-00,1,False,1986-01-31
25-003-05083-00-00,1,False,1986-01-31
25-003-05107-00-00,1,False,1986-01-31
25-003-21003-00-00,0,False,1986-05-31
25-003-21115-00-00,0,False,1986-01-31
25-003-21125-00-00,0,False,1986-01-31
25-003-21142-00-00,0,False,1986-01-31
25-003-21143-00-00,0,False,1986-01-31
25-003-21146-00-00,0,False,1986-03-31
25-003-21610-00-00,0,False,2005-09-30
25-003-21618-00-00,0,False,2006-01-31
25-003-22927-00-00,1,True,2013-08-31
25-005-05034-00-00,0,False,1986-01-31
25-005-05039-00-00,0,False,1986-01-31
25-005-05044-00-00,0,False,1986-01-31
25-005-05053-00-00,0,False,1986-01-31
25-005-05054-00-00,1,False,1986-01-31
25-005-05061-00-00,1,False,1986-01-31
25-005-05062-00-00,0,False,1986-01-31
25-005-05068-00-00,0,False,1986-01-31
25-005-05077-00-00,1,False,1998-09-30
25-005-05078-00-00,1,False,1986-01-31
25-005-05089-00-00,0,False,1986-01-31
25-005-05090-00-00,1,False,1986-01-31
25-005-05123-00-00,0,False,1986-01-31
25-005-05124-00-00,1,False,1986-01-31
25-005-05130-00-00,1,False,1986-01-31
25-005-05131-00-00,0,False,1986-01-31
25-005-05142-00-00,1,False,1986-01-31
25-005-05156-00-00,1,False,1986-01-31
25-005-05163-00-00,0,False,1986-01-31
25-005-07001-00-00,1,False,1986-01-31
25-005-08003-00-00,0,False,1986-01-31
25-005-21623-00-00,1,False,1986-01-31
25-005-22528-00-00,0,False,1990-10-31
25-005-22529-00-00,0,False,1990-10-31
25-005-22565-00-00,0,False,1991-10-31
25-005-22578-00-00,0,False,1991-10-31
25-005-23649-00-00,0,False,2007-09-30
25-005-23650-00-00,0,False,2007-09-30
25-005-23651-00-00,0,False,2007-09-30
25-005-23652-00-00,0,False,2007-10-31
25-005-23723-00-00,0,False,2008-12-31
25-005-23724-00-00,0,False,2008-11-30
25-005-23725-00-00,0,False,2008-10-31
25-005-23773-00-00,0,False,2009-10-31
25-005-23774-00-00,0,False,2009-10-31
25-005-23783-00-00,0,False,2010-09-30
25-005-23786-00-00,0,False,2010-08-31
25-005-23795-00-00,0,False,2011-08-31
25-005-23796-00-00,1,False,2011-12-31
25-005-23797-00-00,1,False,2011-10-31
25-005-23798-00-00,0,False,2011-10-31
25-005-23804-00-00,0,False,2012-09-30
25-005-23805-00-00,1,False,2012-09-30
25-005-23816-00-00,0,False,2014-11-30
25-005-23817-00-00,0,False,2014-11-30
25-005-23830-00-00,0,False,2018-12-31
25-009-05000-00-00,0,False,1986-01-31
25-009-05004-00-00,0,False,1986-01-31
25-009-05005-00-00,1,False,1987-04-30
25-009-05010-00-00,1,False,1998-03-31
25-009-05015-00-00,1,False,1986-01-31
25-009-05016-00-00,0,False,1994-12-31
25-009-05019-00-00,0,False,1986-01-31
25-009-05020-00-00,0,False,1999-11-30
25-009-05021-00-00,1,False,1986-01-31
25-009-05022-00-00,0,False,1986-01-31
25-009-05023-00-00,1,False,1986-01-31
25-009-05024-00-00,1,False,1986-01-31
25-009-05025-00-00,1,False,1986-01-31
25-009-05026-00-00,0,False,1986-01-31
25-009-05032-00-00,0,False,1986-01-31
25-009-05036-00-00,0,False,1986-01-31
25-009-05039-00-00,0,False,1986-01-31
25-009-05042-00-00,0,False,1988-01-31
25-009-05043-00-00,1,False,1991-01-31
25-009-05046-00-00,1,True,1986-01-31
25-009-05047-00-00,1,False,1986-01-31
25-009-05048-00-00,1,False,1986-01-31
25-009-05050-00-00,0,False,1986-01-31
25-009-05053-00-00,1,False,1986-01-31
25-009-05055-00-00,1,False,1986-01-31
25-009-05057-00-00,0,False,1986-01-31
25-009-05059-00-00,0,False,1986-01-31
25-009-05356-00-00,1,False,1987-05-31
25-009-05361-00-00,1,False,1986-01-31
25-009-05368-00-00,1,False,1986-01-31
25-009-05372-00-00,1,False,1986-01-31
25-009-05382-00-00,1,False,1986-01-31
25-009-05383-00-00,1,False,1991-01-31
25-009-05384-00-00,1,False,1986-01-31
25-009-05393-00-00,0,False,2000-02-29
