cluster,size,share,prob_median
-1,247,0.16466666666666666,0.0
0,196,0.13066666666666665,1.0
1,86,0.05733333333333333,1.0
2,577,0.38466666666666666,1.0
3,254,0.16933333333333334,0.822660632380617
4,140,0.09333333333333334,0.9299093123991067
