well_name,x,y,cluster,prob
25-083-21732-00-00,8.1064205,9.442683,4,0.9299093123991067
25-091-21327-00-00,1.5450841,9.111743,2,1.0
25-101-06220-00-00,4.262311,5.9239526,1,1.0
25-105-21351-00-00,3.9239917,8.02866,2,1.0
25-091-21427-00-00,8.361782,10.062317,4,1.0
25-073-05250-00-00,1.2395573,10.116595,2,1.0
25-009-05384-00-00,1.7164134,9.648248,2,1.0
25-083-23162-00-00,7.180604,9.121424,-1,0.0
25-087-21306-00-00,1.6140925,9.082313,2,1.0
25-083-23239-00-00,3.3237433,8.008145,2,0.9985137369877323
25-025-21054-00-00,1.8640072,9.514581,2,1.0
25-101-06291-00-00,8.614721,9.859775,4,1.0
25-101-05788-00-00,2.5549674,8.325287,2,1.0
25-073-05136-00-00,1.0914521,10.057693,2,1.0
25-105-21282-00-00,3.1325433,9.869791,2,1.0
25-035-07193-00-00,3.889991,7.846702,2,1.0
25-083-22575-00-00,6.570566,8.125997,3,0.6298067198804216
25-083-22265-00-00,6.2930884,7.486023,3,0.8557327673107654
25-101-21398-00-00,3.7703788,6.6661386,1,0.9579064571681729
25-083-21490-00-00,7.949092,10.088551,4,1.0
25-101-22551-00-00,8.355465,9.30755,4,0.8766128676547411
25-055-21045-00-00,1.512418,9.294221,2,1.0
25-101-60143-00-00,7.872082,10.101658,4,1.0
25-091-21374-00-00,1.7437238,8.423797,2,1.0
25-087-05281-00-00,4.0046353,5.908376,1,1.0
25-083-23119-00-00,4.972817,8.160851,-1,0.0
25-025-21923-00-00,6.6491427,5.8568616,0,0.8847118267055298
25-025-21762-00-00,7.7157187,9.689392,4,0.7246494776849007
25-073-21638-00-00,2.5603223,8.484786,2,0.9393526694518194
25-091-21664-00-00,1.2319384,9.967913,2,1.0
25-099-21019-00-00,8.103745,5.744628,0,1.0
25-101-22678-00-00,6.264687,6.984416,-1,0.0
25-101-22580-00-00,8.037833,5.860233,0,1.0
