cluster,size,share,prob_median
-1,885,0.13930426570124352,0.0
0,1048,0.1649614355422635,1.0
1,2758,0.43412560994805605,1.0
2,129,0.02030536754289312,1.0
3,278,0.0437588540846844,1.0
4,872,0.1372579883519597,1.0
5,46,0.007240673697465764,1.0
6,194,0.030536754289312136,0.808418821907055
7,143,0.022509050842121833,0.9356858060730227
