well_name,x,y,cluster,prob
25-005-22582-00-00,1.9272038,3.3710551,1,1.0
25-005-22588-00-00,5.883276,3.9724464,5,1.0
25-005-22593-00-00,7.466622,8.546414,-1,0.0
25-005-22627-00-00,5.500205,3.0785353,-1,0.0
25-005-22645-00-00,2.9965408,8.679092,0,1.0
25-005-22648-00-00,-0.14125179,3.231281,1,0.9859133887151567
25-005-22696-00-00,5.680684,4.193047,4,0.8825792883695452
25-005-22738-00-00,4.593171,6.0815096,4,0.8944014336552689
25-005-22742-00-00,7.309666,6.1407266,3,1.0
25-005-22967-00-00,5.359109,3.4281235,-1,0.0
25-005-22989-00-00,1.2948855,5.908012,1,1.0
25-005-22992-00-00,5.436277,2.689328,-1,0.0
25-005-23298-00-00,5.495619,3.7406144,-1,0.0
25-005-23514-00-00,5.219888,2.853306,-1,0.0
25-005-23541-00-00,7.182033,7.436658,2,0.6021600599625272
25-005-23649-00-00,0.95139694,5.665016,1,1.0
25-005-23650-00-00,-0.90226877,4.5682864,1,1.0
25-005-23651-00-00,0.5878046,5.5196805,1,1.0
25-005-23652-00-00,0.20409189,4.7450547,1,0.7208744223771406
25-005-23723-00-00,-1.105766,3.700584,1,1.0
25-005-23724-00-00,0.28923893,5.7972856,1,1.0
25-005-23725-00-00,3.500159,6.2456727,4,1.0
25-005-23773-00-00,-1.0505863,4.5033393,1,1.0
25-005-23774-00-00,0.58150244,5.995854,1,1.0
25-005-23783-00-00,5.4056892,4.8999286,4,1.0
25-005-23786-00-00,-0.13190296,5.302673,1,1.0
25-005-23795-00-00,4.4995074,6.1946054,4,0.837947061757073
25-005-23796-00-00,-1.3301203,2.9968543,1,1.0
25-005-23797-00-00,-1.4920828,3.5116658,1,1.0
25-005-23798-00-00,-0.609503,4.5896635,1,0.9608686322230013
25-005-23804-00-00,2.6096137,8.359201,0,0.9040429563267033
25-005-23805-00-00,-1.5903392,4.814695,1,1.0
25-005-23815-00-00,5.707776,5.952814,-1,0.0
25-005-23816-00-00,5.8900056,7.2384877,-1,0.0
25-005-23817-00-00,1.1515142,6.3603334,1,0.6086591575744856
25-005-23818-00-00,1.8941613,6.2032504,1,0.5581095543735065
25-005-23822-00-00,5.677112,2.8368647,7,0.9043637580498491
25-005-23830-00-00,5.603515,6.020515,4,0.901345307051376
25-005-23831-00-00,5.9550285,3.8754327,5,1.0
25-005-23838-00-00,5.479132,4.558572,4,1.0
25-005-23840-00-00,5.6898093,6.540927,-1,0.0
25-009-05000-00-00,6.2419853,9.501528,0,0.8901813610495487
25-009-05004-00-00,5.4449263,2.7416577,-1,0.0
25-009-05005-00-00,5.626832,3.2102556,7,1.0
25-009-05010-00-00,-1.7027528,3.2489996,1,1.0
25-009-05011-00-00,-1.0224322,3.1766872,1,1.0
25-009-05015-00-00,2.4070935,4.1352797,1,0.5654901737829142
25-009-05016-00-00,5.0426354,2.863774,-1,0.0
25-009-05017-00-00,7.0689335,9.511376,0,1.0
25-009-05020-00-00,-0.3179658,4.948785,1,1.0
25-009-05021-00-00,-1.6683972,3.9825366,1,1.0
25-009-05022-00-00,7.925209,9.096603,0,1.0
25-009-05023-00-00,-1.4715394,4.919132,1,1.0
25-009-05024-00-00,-1.4170291,4.8038945,1,1.0
25-009-05025-00-00,-0.7940443,2.590002,1,1.0
25-009-05026-00-00,5.327688,2.4922426,6,0.7942486377736047
25-009-05032-00-00,6.0660734,9.680862,0,1.0
25-009-05036-00-00,5.5196877,3.148597,7,0.9906471116988786
25-009-05039-00-00,3.542064,9.086352,0,1.0
25-009-05042-00-00,7.3420258,6.4450145,3,0.6180992471266019
25-009-05043-00-00,7.5101,6.8351226,-1,0.0
25-009-05046-00-00,1.6831642,3.7694464,1,1.0
25-009-05047-00-00,-1.5862591,3.6622238,1,1.0
25-009-05048-00-00,-1.6784247,3.4734516,1,0.9644197452947245
25-009-05050-00-00,5.5075374,4.083228,-1,0.0
25-009-05053-00-00,5.4350348,2.36153,6,0.7516025352648886
25-009-05055-00-00,5.81767,2.7405381,-1,0.0
25-009-05057-00-00,5.499535,4.5897965,4,1.0
25-009-05059-00-00,5.7869034,4.492011,-1,0.0
25-009-05060-00-00,7.1332726,5.9017687,3,0.8579738204784259
25-009-05062-00-00,-1.114248,5.024262,1,1.0
25-009-05065-00-00,5.792908,3.1121402,7,0.9043637580498491
25-009-05073-00-00,6.517218,9.630229,0,1.0
25-009-05074-00-00,0.7616468,6.159521,1,1.0
25-009-05077-00-00,7.8055897,9.139501,0,1.0
25-009-05082-00-00,5.0479274,6.439827,4,0.8037268215191904
25-009-05084-00-00,2.8520703,8.635827,0,1.0
25-009-05085-00-00,-0.30240324,5.149661,1,0.7856036839389154
25-009-05088-00-00,3.0269926,8.701479,0,1.0
25-009-05096-00-00,0.74966455,5.7612586,1,1.0
25-009-05188-00-00,5.499532,5.323401,4,1.0
25-009-05356-00-00,5.6504674,2.8963585,7,0.9043637580498491
25-009-05361-00-00,5.6711245,2.1512673,-1,0.0
25-009-05365-00-00,7.2654595,7.632562,2,1.0
25-009-05368-00-00,5.946278,4.064713,5,1.0
25-009-05372-00-00,-1.4154323,4.7536306,1,1.0
25-009-05381-00-00,4.9925513,9.433852,0,1.0
25-009-05382-00-00,3.2229762,5.622909,-1,0.0
25-009-05383-00-00,2.0610673,3.5666795,1,1.0
25-009-05384-00-00,-1.2680931,2.7508047,1,1.0
25-009-05393-00-00,5.8065205,4.2831125,-1,0.0
25-009-05396-00-00,7.168407,6.0149336,3,0.9504603618840818
25-009-05400-00-00,-1.6566787,4.03752,1,1.0
25-009-05401-00-00,-0.70191425,4.817763,1,0.8914340862587705
25-009-05402-00-00,3.4045472,8.455459,0,0.6224455357578467
25-009-05403-00-00,2.4175322,8.357108,0,0.7136022609098908
25-009-05408-00-00,-0.87336695,3.3441906,1,1.0
25-009-06408-00-00,6.9443474,9.525456,0,1.0
25-009-21002-00-00,5.35245,5.072373,4,1.0
25-009-21008-00-00,5.562805,2.496542,-1,0.0
25-009-21009-00-00,-0.17554575,3.5925624,1,0.9861237092017155
25-009-21010-00-00,4.179508,6.265863,4,1.0
25-009-21011-00-00,1.270655,4.924697,1,0.6339505631690706
25-009-21013-00-00,0.46192467,3.905231,1,0.7244068583574911
25-009-21014-00-00,-2.1300547,3.2509074,1,0.7110853727563021
25-009-21017-00-00,0.72431105,5.8948965,1,1.0
25-009-21022-00-00,5.6870036,4.174035,4,0.8519538661769254
25-009-21050-00-00,6.475003,9.605468,0,1.0
25-009-21063-00-00,6.216794,6.969536,-1,0.0
25-009-21066-00-00,7.314654,6.0690503,3,1.0
25-009-21076-00-00,5.6079845,4.809498,4,1.0
25-009-21081-00-00,5.1877475,5.161474,4,1.0
25-009-21083-00-00,6.169521,9.704706,0,1.0
25-009-21084-00-00,6.810676,7.8450475,-1,0.0
25-009-21086-00-00,5.356861,4.9088006,4,1.0
25-009-21088-00-00,8.031093,8.96271,0,1.0
25-009-21089-00-00,5.3136725,3.5449698,-1,0.0
25-009-21097-00-00,5.384079,3.5562532,7,0.9553400541560851
25-009-21099-00-00,7.0199013,9.54889,0,1.0
25-009-21112-00-00,7.2137003,9.450372,0,1.0
25-009-21119-00-00,4.1341705,5.490486,-1,0.0
25-009-21129-00-00,7.7368927,6.5133595,3,1.0
25-009-21134-00-00,7.3108606,7.6466656,2,1.0
25-009-21153-00-00,7.8497057,9.189887,0,1.0
25-009-21154-00-00,7.8408885,9.188951,0,1.0
25-009-21162-00-00,7.2966714,6.1021376,3,1.0
25-009-21164-00-00,5.9230943,4.588227,-1,0.0
25-009-21169-00-00,5.323961,5.3568172,4,1.0
25-009-21176-00-00,7.660161,8.780184,0,0.5601220314441074
25-009-21177-00-00,5.7423596,5.726764,-1,0.0
25-009-21198-00-00,4.764727,6.147578,4,0.954833594231555
25-009-21199-00-00,7.0208807,5.648554,3,0.5069682222979617
25-009-21204-00-00,-1.3495804,3.1966147,1,1.0
25-009-21208-00-00,7.3041596,6.2776213,3,0.6728147151583448
25-009-21213-00-00,6.490598,5.940054,-1,0.0
25-009-21214-00-00,-1.2266161,4.86758,1,1.0
25-009-21217-00-00,5.1779027,2.3987741,6,0.8216019282662382
25-009-21221-00-00,-1.3250526,4.621454,1,1.0
25-009-21222-00-00,5.185647,2.3571792,6,0.938321123671885
25-009-21224-00-00,5.2281656,2.4374485,6,0.6869368388183713
25-009-21225-00-00,6.200725,5.1285105,-1,0.0
25-009-21226-00-00,5.756308,4.991261,-1,0.0
25-009-21227-00-00,6.135973,3.8335955,5,1.0
25-009-21229-00-00,5.5635743,5.3906493,4,1.0
25-009-21234-00-00,5.875628,4.091731,4,0.7675393718963733
25-009-21238-00-00,1.22112,4.586761,1,0.5396485913841075
25-009-21240-00-00,7.585512,7.380497,2,0.6773614743732594
25-009-21257-00-00,3.5156333,6.456384,-1,0.0
25-009-21258-00-00,0.28958267,6.2412887,1,0.5707384852097993
25-009-21261-00-00,7.258466,6.0055866,3,1.0
25-009-21262-00-00,5.345873,6.261967,4,0.9189053101788486
