well_name,x,y,cluster,prob
25-003-05007-00-00,11.222333,7.5715833,2,1.0
25-003-05009-00-00,10.71585,8.345601,2,1.0
25-003-05057-00-00,11.108809,8.175381,2,1.0
25-003-05058-00-00,6.2834363,2.0772414,0,1.0
25-003-05059-00-00,4.0973606,1.9699249,0,0.9421657072289719
25-003-05067-00-00,10.787539,7.5192614,2,1.0
25-003-05068-00-00,11.20535,8.264052,2,1.0
25-003-05069-00-00,10.966602,6.783054,2,1.0
25-003-05071-00-00,10.864832,7.403548,2,1.0
25-003-05074-00-00,11.567644,9.024493,2,1.0
25-003-05076-00-00,11.555651,8.859743,2,1.0
25-003-05078-00-00,11.535803,8.828247,2,1.0
25-003-05083-00-00,11.636635,8.763085,2,1.0
25-003-05091-00-00,11.030407,7.3905816,2,1.0
25-003-05095-00-00,11.233465,9.022682,2,1.0
25-003-05107-00-00,4.396873,8.7779255,1,1.0
25-003-05199-00-00,11.18378,8.834376,2,1.0
25-003-05204-00-00,11.602083,8.937557,2,1.0
25-003-05211-00-00,11.133968,7.18263,2,1.0
25-003-21003-00-00,9.717076,5.9141116,2,1.0
25-003-21008-00-00,4.495386,7.9712873,1,1.0
25-003-21115-00-00,11.03633,8.944587,2,1.0
25-003-21118-00-00,4.4432273,8.217278,1,1.0
25-003-21119-00-00,4.371224,8.337771,1,1.0
25-003-21125-00-00,10.714002,8.063122,2,1.0
25-003-21142-00-00,5.481103,3.955799,-1,0.0
25-003-21143-00-00,5.10175,5.199104,1,1.0
25-003-21146-00-00,4.711771,4.88057,1,1.0
25-003-21610-00-00,11.253583,8.932106,2,1.0
25-003-21618-00-00,10.921459,8.693957,2,1.0
25-003-22927-00-00,9.769291,8.052273,2,1.0
25-003-22950-00-00,11.143479,8.250781,2,1.0
25-005-05034-00-00,10.886604,7.9645233,2,1.0
25-005-05039-00-00,8.545153,8.289145,2,1.0
25-005-05044-00-00,11.175469,8.531492,2,1.0
25-005-05053-00-00,5.4495764,7.39796,1,0.9394173936793245
25-005-05054-00-00,8.840544,7.910505,2,0.9145159713776563
25-005-05061-00-00,8.447968,8.168293,2,1.0
25-005-05062-00-00,8.49099,6.001598,2,1.0
25-005-05068-00-00,10.91667,8.125131,2,1.0
25-005-05077-00-00,8.525317,4.2850075,0,1.0
25-005-05078-00-00,10.618816,6.55439,2,0.9475834061703763
25-005-05089-00-00,11.327432,9.122584,2,1.0
25-005-05090-00-00,11.449716,8.224716,2,1.0
25-005-05123-00-00,9.485721,5.7475367,2,1.0
25-005-05124-00-00,10.727058,7.6865406,2,0.9488672995836189
25-005-05130-00-00,9.489409,6.0301514,2,1.0
25-005-05131-00-00,10.730061,6.576386,2,0.9720409856949002
25-005-05142-00-00,11.511062,8.338179,2,1.0
25-005-05156-00-00,10.637908,7.8543797,2,0.8922446752840858
25-005-05163-00-00,10.424066,8.603421,2,0.9003580592694024
25-005-07001-00-00,11.105276,7.258078,2,1.0
25-005-08003-00-00,9.158811,6.0526643,2,1.0
25-005-21420-00-00,11.205973,9.252099,2,1.0
25-005-21511-00-00,7.852314,8.242268,-1,0.0
25-005-21582-00-00,4.720764,6.1402097,1,1.0
25-005-21623-00-00,9.837825,5.995481,2,1.0
25-005-22101-00-00,4.625499,8.256883,1,1.0
25-005-22121-00-00,4.5037265,8.315667,1,1.0
25-005-22297-00-00,4.514169,8.307061,1,1.0
25-005-22300-00-00,4.670253,6.021898,1,1.0
25-005-22323-00-00,4.534655,7.711022,1,1.0
25-005-22338-00-00,4.80328,5.6714706,1,1.0
25-005-22382-00-00,4.5352273,5.9064693,1,1.0
25-005-22493-00-00,4.7215457,3.5379171,1,1.0
25-005-22528-00-00,8.923092,8.50058,2,1.0
25-005-22529-00-00,10.333284,7.8702197,2,0.724119081555473
25-005-22545-00-00,4.8532166,6.8275023,1,1.0
25-005-22549-00-00,9.165208,7.694094,2,0.7718178218332663
25-005-22550-00-00,6.8715634,5.1784906,1,1.0
25-005-22552-00-00,4.182505,7.4556108,1,1.0
25-005-22565-00-00,9.026654,5.8098273,2,1.0
25-005-22578-00-00,5.3215394,7.310189,1,0.9394173936793245
25-005-22582-00-00,8.291073,8.290792,2,1.0
25-005-22588-00-00,4.298603,7.2106776,1,1.0
25-005-22593-00-00,4.41139,2.3064377,-1,0.0
25-005-23649-00-00,8.822324,6.0711913,2,1.0
25-005-23650-00-00,10.672859,6.9912963,2,1.0
25-005-23651-00-00,9.17965,6.379818,2,0.8460835552966096
25-005-23652-00-00,9.783397,7.5028653,2,0.6636682043518705
25-005-23723-00-00,10.982244,8.142253,2,1.0
25-005-23724-00-00,9.436487,5.9408956,2,1.0
25-005-23725-00-00,6.910287,5.4451866,1,1.0
25-005-23773-00-00,11.100818,7.1926355,2,1.0
25-005-23774-00-00,9.597453,5.9417415,2,1.0
25-005-23783-00-00,4.767415,6.434572,1,1.0
25-005-23786-00-00,10.240854,6.728803,2,0.9399571741639602
25-005-23795-00-00,5.8667884,5.5310326,1,0.9305237797380368
25-005-23796-00-00,11.114118,8.36313,2,1.0
25-005-23797-00-00,11.228745,8.174916,2,1.0
25-005-23798-00-00,10.588131,7.3128357,2,1.0
25-005-23804-00-00,8.620595,3.8935456,0,1.0
25-005-23805-00-00,11.303136,7.4253054,2,1.0
25-005-23816-00-00,5.198303,3.2990334,-1,0.0
25-005-23817-00-00,8.624234,4.758109,0,0.6949181761440218
25-005-23830-00-00,4.357051,4.582807,1,0.9995274405406768
25-005-23831-00-00,4.452589,6.986163,1,1.0
25-005-23838-00-00,4.6365685,6.5239496,1,1.0
25-005-23840-00-00,4.7398467,4.447178,1,0.9282869665574158
25-009-05000-00-00,5.588201,1.9880562,0,1.0
25-009-05004-00-00,4.4621363,8.058442,1,1.0
25-009-05005-00-00,4.223663,7.6297913,1,1.0
25-009-05010-00-00,11.0301075,8.547505,2,1.0
25-009-05015-00-00,5.5766582,7.33696,1,0.7697149450996956
25-009-05016-00-00,4.7044306,8.371097,1,1.0
25-009-05020-00-00,10.625085,7.0889635,2,0.9828418779728658
25-009-05021-00-00,11.164697,7.75048,2,1.0
25-009-05022-00-00,4.3832555,1.5836935,0,1.0
25-009-05023-00-00,10.492099,6.530226,2,1.0
25-009-05024-00-00,11.223651,7.1331663,2,1.0
25-009-05025-00-00,10.993596,8.893363,2,1.0
25-009-05026-00-00,4.5333943,8.141765,1,1.0
25-009-05032-00-00,5.975312,1.9296633,0,1.0
25-009-05036-00-00,4.409369,8.175138,1,1.0
25-009-05039-00-00,8.03279,3.3804405,0,1.0
25-009-05042-00-00,3.5527008,3.5888445,1,1.0
25-009-05043-00-00,4.711912,2.7894907,-1,0.0
25-009-05046-00-00,8.627437,7.700075,2,1.0
25-009-05047-00-00,10.626589,7.944554,2,0.951156968386969
25-009-05048-00-00,11.439182,8.059745,2,1.0
25-009-05050-00-00,4.471274,6.9534564,1,1.0
25-009-05053-00-00,4.396258,8.4433775,1,1.0
25-009-05055-00-00,4.4358006,8.029712,1,1.0
25-009-05057-00-00,4.562442,6.9970465,1,1.0
25-009-05059-00-00,4.6119213,6.3766036,1,1.0
25-009-05060-00-00,4.160432,4.825963,1,0.8433550773218029
25-009-05065-00-00,4.3607287,7.9745555,1,1.0
25-009-05356-00-00,3.9874396,7.228841,1,1.0
25-009-05361-00-00,4.5135026,8.449925,1,1.0
25-009-05365-00-00,4.143472,3.0164583,1,1.0
25-009-05368-00-00,3.9407353,6.5922704,-1,0.0
25-009-05372-00-00,11.121855,7.0531855,2,1.0
25-009-05382-00-00,6.998491,6.025808,-1,0.0
25-009-05383-00-00,8.428191,8.1463,2,1.0
25-009-05384-00-00,11.322432,8.867701,2,1.0
25-009-05393-00-00,4.522968,6.5340314,1,1.0
25-009-05396-00-00,4.394028,1.5197723,0,1.0
25-009-05400-00-00,11.174084,7.586041,2,1.0
25-009-05401-00-00,10.4246,6.8221235,2,0.8976118153691334
25-009-05402-00-00,7.847917,3.8890517,0,0.6899628025869939
25-009-05403-00-00,10.344185,8.169605,2,1.0
25-009-05408-00-00,10.914894,8.368355,2,1.0
25-009-21002-00-00,4.804291,5.3396893,1,1.0
25-009-21008-00-00,4.5280933,8.595935,1,1.0
25-009-21009-00-00,10.317191,8.338151,2,1.0
25-009-21010-00-00,6.4852138,5.256969,1,1.0
25-009-21011-00-00,8.724196,7.008595,2,0.6555128891131468
25-009-21013-00-00,9.443617,8.184231,2,1.0
25-009-21014-00-00,11.478221,8.194982,2,1.0
25-009-21022-00-00,4.308413,7.469655,1,1.0
25-009-21050-00-00,5.573368,1.8350451,0,1.0
25-009-21063-00-00,4.7282324,3.6754653,1,1.0
25-009-21076-00-00,4.6091323,6.21595,1,1.0
25-009-21081-00-00,5.0297394,6.024979,1,1.0
25-009-21083-00-00,5.7948027,1.7299331,0,1.0
25-009-21084-00-00,4.802912,2.9631004,-1,0.0
25-009-21086-00-00,4.6091156,6.277429,1,1.0
25-009-21088-00-00,4.2143736,1.6897308,0,1.0
25-009-21097-00-00,4.462466,7.6095977,1,1.0
25-009-21099-00-00,5.017249,1.5290371,0,1.0
25-009-21112-00-00,4.878091,1.5542545,0,1.0
25-009-21119-00-00,5.9192324,5.8792415,1,0.6508903148070179
25-009-21129-00-00,3.6070385,3.3348534,1,1.0
25-009-21134-00-00,4.132218,3.01264,1,1.0
25-009-21153-00-00,4.4597526,1.5229577,0,1.0
25-009-21154-00-00,4.4833474,1.5303679,0,1.0
25-009-21162-00-00,4.5878057,4.5911813,1,0.9761102823154789
25-009-21164-00-00,4.3287168,5.900149,1,0.8876290943303085
25-009-21169-00-00,4.3525157,5.5820603,1,1.0
25-009-21176-00-00,4.4082313,2.104314,0,0.6355713538840868
25-009-21204-00-00,11.375744,8.355957,2,1.0
25-009-21213-00-00,4.7005196,5.014833,1,1.0
25-009-21222-00-00,4.516309,8.632647,1,1.0
25-009-21224-00-00,4.7064943,8.527348,1,1.0
25-009-21225-00-00,4.0150723,7.070338,1,1.0
25-009-21226-00-00,4.336375,5.716814,1,1.0
25-009-21227-00-00,4.5630703,6.4650645,1,1.0
25-009-21234-00-00,4.6622996,6.45853,1,1.0
