well_name,x,y,cluster,prob
25-003-05007-00-00,7.1900363,9.426781,8,0.9552316869193661
25-003-05009-00-00,7.0792747,10.0822735,8,0.8643144417678966
25-003-05057-00-00,7.5112786,10.024635,8,1.0
25-003-05067-00-00,6.9415364,9.197872,-1,0.0
25-003-05068-00-00,7.686371,10.157837,8,1.0
25-003-05069-00-00,7.327895,8.969023,8,1.0
25-003-05074-00-00,8.088303,10.791329,8,1.0
25-003-05076-00-00,7.8586407,10.481967,8,0.9443896869414673
25-003-05078-00-00,7.7932935,10.426465,8,1.0
25-003-05083-00-00,8.053965,10.538887,8,0.8789892383810555
25-003-05107-00-00,0.6503635,8.526113,4,0.8706905771699414
25-003-21003-00-00,6.194559,7.999044,7,0.8524052066718903
25-003-21115-00-00,7.320008,10.512059,8,1.0
25-003-21125-00-00,7.673507,9.673315,8,0.9063740354338758
25-003-21142-00-00,2.2390141,6.3292537,6,1.0
25-003-21143-00-00,2.1917,6.4665837,6,1.0
25-003-21146-00-00,2.515971,6.474811,6,1.0
25-003-21610-00-00,7.702439,10.754338,8,1.0
25-003-21618-00-00,7.352181,10.612614,8,1.0
25-003-22927-00-00,6.3874397,9.849351,8,0.794093115631881
25-005-05034-00-00,7.418184,9.65807,8,1.0
25-005-05039-00-00,5.1603518,10.099701,5,1.0
25-005-05044-00-00,6.9540577,10.1704035,8,0.86871873491541
25-005-05053-00-00,1.9545587,7.742063,-1,0.0
25-005-05054-00-00,5.558083,9.143763,-1,0.0
25-005-05061-00-00,5.1395435,9.526471,5,0.7841572770727204
25-005-05062-00-00,4.841106,7.4992313,7,0.8488871518402176
25-005-05068-00-00,7.3732185,9.572253,8,1.0
25-005-05077-00-00,5.856325,6.862378,-1,0.0
25-005-05078-00-00,7.261001,8.749557,8,1.0
25-005-05089-00-00,7.8375626,10.634976,8,1.0
25-005-05090-00-00,7.5307198,10.108091,8,1.0
25-005-05123-00-00,6.1978254,8.1653595,7,0.8764495278676867
25-005-05124-00-00,7.191673,9.406948,8,0.9446161028533785
25-005-05130-00-00,6.1275773,8.312723,7,0.8697983441082682
25-005-05131-00-00,7.267822,8.772119,8,1.0
25-005-05142-00-00,7.4720416,10.231916,8,1.0
25-005-05156-00-00,7.1171613,9.8589945,-1,0.0
25-005-05163-00-00,6.4798555,10.394312,-1,0.0
25-005-07001-00-00,7.3372583,8.83172,8,1.0
25-005-08003-00-00,5.418034,8.078783,7,0.9286480690228525
25-005-21623-00-00,6.58913,8.210939,-1,0.0
25-005-22528-00-00,5.8197308,10.063738,-1,0.0
25-005-22529-00-00,6.6422253,9.3488865,-1,0.0
25-005-22565-00-00,5.567534,7.7649326,7,1.0
25-005-22578-00-00,1.5609939,7.9257703,-1,0.0
25-005-23649-00-00,5.787744,7.830667,7,1.0
25-005-23650-00-00,7.142852,9.080884,8,0.8551898412575473
25-005-23651-00-00,5.9146605,7.9939284,7,0.8922948822315921
25-005-23652-00-00,6.3708506,9.537027,-1,0.0
25-005-23723-00-00,7.479621,9.663036,8,1.0
25-005-23724-00-00,5.501848,8.088776,7,1.0
25-005-23725-00-00,4.2211337,7.125698,6,0.6694935286320276
25-005-23773-00-00,7.3533688,9.40658,8,0.972248685679897
25-005-23774-00-00,6.020459,8.00905,7,0.8276157064910923
25-005-23783-00-00,1.9686079,7.06161,6,0.8341879888420941
25-005-23786-00-00,6.6925325,8.874722,-1,0.0
25-005-23795-00-00,3.2320871,6.460885,6,0.8518258970775672
25-005-23796-00-00,7.754642,10.351985,8,0.9566254498081053
25-005-23797-00-00,7.0320196,10.299509,-1,0.0
25-005-23798-00-00,7.0293336,9.53711,-1,0.0
25-005-23804-00-00,6.0924754,7.1425815,-1,0.0
25-005-23805-00-00,7.404647,9.227165,8,1.0
25-005-23816-00-00,2.9212618,5.854843,-1,0.0
25-005-23817-00-00,5.861078,6.916663,-1,0.0
25-005-23830-00-00,2.0976458,6.2816243,6,0.853264635012131
25-009-05000-00-00,3.8605282,3.5110242,2,1.0
25-009-05004-00-00,0.34878638,8.716311,4,1.0
25-009-05005-00-00,0.57717794,7.5392494,4,0.6158030631269292
25-009-05010-00-00,7.3426447,10.142559,8,0.9997248797095799
25-009-05015-00-00,4.5234423,9.762095,-1,0.0
25-009-05016-00-00,0.49072447,8.8251095,4,0.7635896127728511
25-009-05020-00-00,6.598432,8.839758,-1,0.0
25-009-05021-00-00,7.6965795,9.664191,8,0.8232761284441531
25-009-05022-00-00,3.052762,2.911777,1,1.0
25-009-05023-00-00,6.9901342,8.517923,-1,0.0
25-009-05024-00-00,7.148316,9.110412,8,0.8220473448397504
25-009-05025-00-00,7.2255487,10.688078,8,0.8310584407009558
25-009-05026-00-00,0.57922363,8.433295,4,1.0
25-009-05032-00-00,4.126181,3.4426262,2,1.0
25-009-05036-00-00,0.76922727,8.440621,4,0.8832802317563103
25-009-05039-00-00,5.44968,5.24491,3,1.0
25-009-05042-00-00,2.098362,4.071146,0,0.6819796213919236
25-009-05043-00-00,2.7037222,3.8956842,-1,0.0
25-009-05046-00-00,5.8291616,9.6488495,-1,0.0
25-009-05047-00-00,6.960726,9.623048,-1,0.0
25-009-05048-00-00,7.032622,10.010228,8,0.8811905295891271
25-009-05050-00-00,1.1001723,8.251093,-1,0.0
25-009-05053-00-00,0.27234542,8.313183,4,0.762701962026563
25-009-05055-00-00,0.330705,8.40931,4,1.0
25-009-05057-00-00,0.5682005,7.4920926,4,0.6158030631269292
25-009-05059-00-00,0.50261116,7.4012446,4,0.6158030631269292
25-009-05060-00-00,1.460924,6.353544,-1,0.0
25-009-05356-00-00,0.7442795,8.284494,4,0.9019010485410666
25-009-05361-00-00,0.5921457,8.6132145,4,0.8681308906835637
25-009-05368-00-00,1.6363873,6.657411,-1,0.0
25-009-05372-00-00,7.4135137,8.973456,8,1.0
25-009-05382-00-00,4.4691396,6.8399324,-1,0.0
