cluster,size,share,prob_median
-1,662,0.30905695611577966,0.0
0,97,0.045284780578898225,1.0
1,54,0.025210084033613446,1.0
2,85,0.03968253968253968,1.0
3,96,0.04481792717086835,1.0
4,186,0.08683473389355742,0.8769854044631258
5,120,0.056022408963585436,0.9427008335501312
6,338,0.15779645191409897,0.8152955695775621
7,169,0.07889822595704948,0.9037241353583766
8,335,0.15639589169000934,1.0
