"API_WellNo","CoName","Well_Nm","Well_Type","Wl_Status","County","Field","WH_TR","WH_Sec",
"25101235210000","A. B. Energy LLC","Barger  28-34-1","Gas","Producing","Toole","Prairie Dell","34N-1W","28",

"API_WellNo","RptDate","Formation","Lease_Unit","BBLS_OIL_COND","MCF_GAS","BBLS_WTR","DAYS_PROD",
"25-101-23521-00-00","8/31/2020 12:00:00 AM","Bow Island, Sunburst","4648","0","216","0","31",
"25-101-23521-00-00","7/31/2020 12:00:00 AM","Bow Island, Sunburst","4648","0","204","0","31",
"25-101-23521-00-00","6/30/2020 12:00:00 AM","Bow Island, Sunburst","4648","0","170","0","30",
"25-101-23521-00-00","5/31/2020 12:00:00 AM","Bow Island, Sunburst","4648","0","185","0","31",
"25-101-23521-00-00","4/30/2020 12:00:00 AM","Bow Island, Sunburst","4648","0","195","0","30",
"25-101-23521-00-00","3/31/2020 12:00:00 AM","Bow Island, Sunburst","4648","0","160","0","30",
"25-101-23521-00-00","2/29/2020 12:00:00 AM","Bow Island, Sunburst","4648","0","146","0","29",
"25-101-23521-00-00","1/31/2020 12:00:00 AM","Bow Island, Sunburst","4648","0","205","0","31",
"25-101-23521-00-00","12/31/2019 12:00:00 AM","Bow Island, Sunburst","4648","0","206","0","31",
"25-101-23521-00-00","11/30/2019 12:00:00 AM","Bow Island, Sunburst","4648","0","197","0","30",
"25-101-23521-00-00","10/31/2019 12:00:00 AM","Bow Island, Sunburst","4648","0","217","0","31",
"25-101-23521-00-00","9/30/2019 12:00:00 AM","Bow Island, Sunburst","4648","0","169","0","30",
"25-101-23521-00-00","8/31/2019 12:00:00 AM","Bow Island, Sunburst","4648","0","91","0","20",
"25-101-23521-00-00","7/31/2019 12:00:00 AM","Bow Island, Sunburst","4648","0","198","0","31",
"25-101-23521-00-00","6/30/2019 12:00:00 AM","Bow Island, Sunburst","4648","0","143","0","25",
"25-101-23521-00-00","5/31/2019 12:00:00 AM","Bow Island, Sunburst","4648","0","220","0","31",
"25-101-23521-00-00","4/30/2019 12:00:00 AM","Bow Island, Sunburst","4648","0","206","0","30",
"25-101-23521-00-00","3/31/2019 12:00:00 AM","Bow Island, Sunburst","4648","0","180","0","30",
"25-101-23521-00-00","2/28/2019 12:00:00 AM","Bow Island, Sunburst","4648","0","232","0","28",
"25-101-23521-00-00","1/31/2019 12:00:00 AM","Bow Island, Sunburst","4648","0","227","0","31",
"25-101-23521-00-00","12/31/2018 12:00:00 AM","Bow Island, Sunburst","4648","0","229","0","31",
"25-101-23521-00-00","11/30/2018 12:00:00 AM","Bow Island, Sunburst","4648","0","257","0","30",
"25-101-23521-00-00","10/31/2018 12:00:00 AM","Bow Island, Sunburst","4648","0","225","0","31",
"25-101-23521-00-00","9/30/2018 12:00:00 AM","Bow Island, Sunburst","4648","0","178","0","30",
"25-101-23521-00-00","8/31/2018 12:00:00 AM","Bow Island, Sunburst","4648","0","173","0","31",
"25-101-23521-00-00","7/31/2018 12:00:00 AM","Bow Island, Sunburst","4648","0","205","0","31",
"25-101-23521-00-00","6/30/2018 12:00:00 AM","Bow Island, Sunburst","4648","0","182","0","30",
"25-101-23521-00-00","5/31/2018 12:00:00 AM","Bow Island, Sunburst","4648","0","189","0","31",
"25-101-23521-00-00","4/30/2018 12:00:00 AM","Bow Island, Sunburst","4648","0","195","0","30",
"25-101-23521-00-00","3/31/2018 12:00:00 AM","Bow Island, Sunburst","4648","0","215","0","31",
"25-101-23521-00-00","2/28/2018 12:00:00 AM","Bow Island, Sunburst","4648","0","172","0","28",
"25-101-23521-00-00","1/31/2018 12:00:00 AM","Bow Island, Sunburst","4648","0","177","0","31",
"25-101-23521-00-00","12/31/2017 12:00:00 AM","Bow Island, Sunburst","4648","0","185","0","31",
"25-101-23521-00-00","11/30/2017 12:00:00 AM","Bow Island, Sunburst","4648","0","96","0","30",
"25-101-23521-00-00","10/31/2017 12:00:00 AM","Bow Island, Sunburst","4648","0","193","0","31",
"25-101-23521-00-00","9/30/2017 12:00:00 AM","Bow Island, Sunburst","4648","0","145","0","30",
"25-101-23521-00-00","8/31/2017 12:00:00 AM","Bow Island, Sunburst","4648","0","164","0","30",
"25-101-23521-00-00","7/31/2017 12:00:00 AM","Bow Island, Sunburst","4648","0","134","0","31",
"25-101-23521-00-00","6/30/2017 12:00:00 AM","Bow Island, Sunburst","4648","0","160","0","30",
"25-101-23521-00-00","5/31/2017 12:00:00 AM","Bow Island, Sunburst","4648","0","136","0","28",
"25-101-23521-00-00","4/30/2017 12:00:00 AM","Bow Island, Sunburst","4648","0","179","0","29",
"25-101-23521-00-00","3/31/2017 12:00:00 AM","Bow Island, Sunburst","4648","0","284","0","31",
"25-101-23521-00-00","2/28/2017 12:00:00 AM","Bow Island, Sunburst","4648","0","263","0","29",
"25-101-23521-00-00","1/31/2017 12:00:00 AM","Bow Island, Sunburst","4648","0","271","0","31",
"25-101-23521-00-00","12/31/2016 12:00:00 AM","Bow Island, Sunburst","4648","0","272","0","31",
"25-101-23521-00-00","11/30/2016 12:00:00 AM","Bow Island, Sunburst","4648","0","252","0","30",
"25-101-23521-00-00","10/31/2016 12:00:00 AM","Bow Island, Sunburst","4648","0","418","0","31",
"25-101-23521-00-00","9/30/2016 12:00:00 AM","Bow Island, Sunburst","4648","0","0","0","0",
"25-101-23521-00-00","8/31/2016 12:00:00 AM","Bow Island, Sunburst","4648","0","159","0","28",
"25-101-23521-00-00","7/31/2016 12:00:00 AM","Bow Island, Sunburst","4648","0","0","0","0",
"25-101-23521-00-00","6/30/2016 12:00:00 AM","Bow Island, Sunburst","4648","0","0","0","0",
"25-101-23521-00-00","5/31/2016 12:00:00 AM","Bow Island, Sunburst","4648","0","290","0","31",
"25-101-23521-00-00","4/30/2016 12:00:00 AM","Bow Island, Sunburst","4648","0","310","0","30",
"25-101-23521-00-00","3/31/2016 12:00:00 AM","Bow Island, Sunburst","4648","0","272","0","31",
"25-101-23521-00-00","2/29/2016 12:00:00 AM","Bow Island, Sunburst","4648","0","242","0","29",
"25-101-23521-00-00","1/31/2016 12:00:00 AM","Bow Island, Sunburst","4648","0","269","0","31",
"25-101-23521-00-00","12/31/2015 12:00:00 AM","Bow Island, Sunburst","4648","0","296","0","30",
"25-101-23521-00-00","11/30/2015 12:00:00 AM","Bow Island, Sunburst","4648","0","277","0","30",
"25-101-23521-00-00","10/31/2015 12:00:00 AM","Bow Island, Sunburst","4648","0","324","0","31",
"25-101-23521-00-00","9/30/2015 12:00:00 AM","Bow Island, Sunburst","4648","0","314","0","30",
"25-101-23521-00-00","8/31/2015 12:00:00 AM","Bow Island, Sunburst","4648","0","117","0","24",
"25-101-23521-00-00","7/31/2015 12:00:00 AM","Bow Island, Sunburst","4648","0","198","0","31",
"25-101-23521-00-00","6/30/2015 12:00:00 AM","Bow Island, Sunburst","4648","0","247","0","25",
"25-101-23521-00-00","5/31/2015 12:00:00 AM","Bow Island, Sunburst","4648","0","312","0","31",
"25-101-23521-00-00","4/30/2015 12:00:00 AM","Bow Island, Sunburst","4648","0","176","0","25",
"25-101-23521-00-00","3/31/2015 12:00:00 AM","Bow Island, Sunburst","4648","0","177","0","17",
"25-101-23521-00-00","2/28/2015 12:00:00 AM","Bow Island, Sunburst","4648","0","274","0","28",
"25-101-23521-00-00","1/31/2015 12:00:00 AM","Bow Island, Sunburst","4648","0","345","0","31",
"25-101-23521-00-00","12/31/2014 12:00:00 AM","Bow Island, Sunburst","4648","0","322","0","30",
"25-101-23521-00-00","11/30/2014 12:00:00 AM","Bow Island, Sunburst","4648","0","320","0","30",
"25-101-23521-00-00","10/31/2014 12:00:00 AM","Bow Island, Sunburst","4648","0","314","0","31",
"25-101-23521-00-00","9/30/2014 12:00:00 AM","Bow Island, Sunburst","4648","0","307","0","30",
"25-101-23521-00-00","8/31/2014 12:00:00 AM","Bow Island, Sunburst","4648","0","296","0","31",
"25-101-23521-00-00","7/31/2014 12:00:00 AM","Bow Island, Sunburst","4648","0","316","0","31",
"25-101-23521-00-00","6/30/2014 12:00:00 AM","Bow Island, Sunburst","4648","0","236","0","22",
"25-101-23521-00-00","5/31/2014 12:00:00 AM","Bow Island, Sunburst","4648","0","337","0","31",
"25-101-23521-00-00","4/30/2014 12:00:00 AM","Bow Island, Sunburst","4648","0","226","0","20",
"25-101-23521-00-00","3/31/2014 12:00:00 AM","Bow Island, Sunburst","4648","0","332","0","30",
"25-101-23521-00-00","2/28/2014 12:00:00 AM","Bow Island, Sunburst","4648","0","306","0","26",
"25-101-23521-00-00","1/31/2014 12:00:00 AM","Bow Island, Sunburst","4648","0","301","0","31",
"25-101-23521-00-00","12/31/2013 12:00:00 AM","Bow Island, Sunburst","4648","0","335","0","31",
"25-101-23521-00-00","11/30/2013 12:00:00 AM","Bow Island, Sunburst","4648","0","309","0","30",
"25-101-23521-00-00","10/31/2013 12:00:00 AM","Bow Island, Sunburst","4648","0","340","0","31",
"25-101-23521-00-00","9/30/2013 12:00:00 AM","Bow Island, Sunburst","4648","0","318","0","30",
"25-101-23521-00-00","8/31/2013 12:00:00 AM","Bow Island, Sunburst","4648","0","320","0","31",
"25-101-23521-00-00","7/31/2013 12:00:00 AM","Bow Island, Sunburst","4648","0","279","0","29",
"25-101-23521-00-00","6/30/2013 12:00:00 AM","Bow Island, Sunburst","4648","0","300","0","30",
"25-101-23521-00-00","5/31/2013 12:00:00 AM","Bow Island, Sunburst","4648","0","344","0","31",
"25-101-23521-00-00","4/30/2013 12:00:00 AM","Bow Island, Sunburst","4648","0","328","0","30",
"25-101-23521-00-00","3/31/2013 12:00:00 AM","Bow Island, Sunburst","4648","0","354","0","30",
"25-101-23521-00-00","2/28/2013 12:00:00 AM","Bow Island, Sunburst","4648","0","324","0","29",
"25-101-23521-00-00","1/31/2013 12:00:00 AM","Bow Island, Sunburst","4648","0","356","0","29",
"25-101-23521-00-00","12/31/2012 12:00:00 AM","Bow Island, Sunburst","4648","0","348","0","31",
"25-101-23521-00-00","11/30/2012 12:00:00 AM","Bow Island, Sunburst","4648","0","337","0","30",
"25-101-23521-00-00","10/31/2012 12:00:00 AM","Bow Island, Sunburst","4648","0","329","0","31",
"25-101-23521-00-00","9/30/2012 12:00:00 AM","Bow Island, Sunburst","4648","0","352","0","31",
"25-101-23521-00-00","8/31/2012 12:00:00 AM","Bow Island, Sunburst","4648","0","329","0","31",
"25-101-23521-00-00","7/31/2012 12:00:00 AM","Bow Island, Sunburst","4648","0","307","0","31",
"25-101-23521-00-00","6/30/2012 12:00:00 AM","Bow Island, Sunburst","4648","0","283","0","30",
